,course_name,skill_label
2695,Meisterschule im Kraftfahrzeugtechniker - Handwerk Teile 1 und 2 (Aufstiegsfortbildung),Kommunikation
2696,Meisterschule im Kraftfahrzeugtechniker - Handwerk Teile 1 und 2 (Aufstiegsfortbildung),Personalmanagement
2697,Meisterschule im Maler- und Lackiererhandwerk Teile 1 und 2 (Aufstiegsfortbildung),Personalmanagement
2698,Meisterschule im Maler- und Lackiererhandwerk Teile 1 und 2 (Aufstiegsfortbildung),Werkstoffkunde
2699,Meisterschule im Maler- und Lackiererhandwerk Teile 1 und 2 (Aufstiegsfortbildung),planen
2700,Meisterschule im Maurer- und Betonbauer-Handwerk Teile 1 und 2 (Aufstiegsfortbildung),Personalwesen
2701,Meisterschule im Maurer- und Betonbauer-Handwerk Teile 1 und 2 (Aufstiegsfortbildung),Logistik
2702,Meisterschule im Maurer- und Betonbauer-Handwerk Teile 1 und 2 (Aufstiegsfortbildung),Vertragsrecht
2703,Meisterschule im Zimmerer-Handwerk Teile 1 und 2 (Aufstiegsfortbildung),Mathematik
2704,Nachschulung des Lehrganges: Elektrofachkraft für festgelegte Tätigkeiten im Metallbauer-Handwerk,Sicherheitsvorschriften
2705,Nachschulung des Lehrganges: Elektrofachkraft für festgelegte Tätigkeiten im SHK-Handwerk,Sicherheitsvorschriften
2706,Rehabilitationspädagogische Zusatzqualifikation für Ausbilder/- innen ,berufliche Rehabilitation
2707,Rehabilitationspädagogische Zusatzqualifikation für Ausbilder/- innen ,Rehabilitation
2708,Rehabilitationspädagogische Zusatzqualifikation für Ausbilder/- innen ,Kommunikation
2709,Rehabilitationspädagogische Zusatzqualifikation für Ausbilder/- innen ,Beratung
2710,Rehabilitationspädagogische Zusatzqualifikation für Ausbilder/- innen ,Essstörungen
2711,Rehabilitationspädagogische Zusatzqualifikation für Ausbilder/- innen ,Reflexion
2712,Rehabilitationspädagogische Zusatzqualifikation für Ausbilder/- innen ,Arbeitsmarkt
2713,Sachkunde für Tätigkeiten an KFZ-Klimaanlagen nach Chemikalien-Klimaschutzverordnung / (EG) Nr. 307/2008,Wartungsarbeiten
2714,Sachkundenachweis Kategorie I ChemKlimaSchutzV,Kältemittel
2715,Sachkundenachweis Kategorie I ChemKlimaSchutzV,Thermodynamik
2716,Sachkundenachweis Kategorie I ChemKlimaSchutzV,Inbetriebnahme
2717,Sachkundenachweis Kategorie II ChemKlimaSchutzV,Kältemittel
2718,Sachkundenachweis Kategorie II ChemKlimaSchutzV,Thermodynamik
2719,Sachkundenachweis Kategorie II ChemKlimaSchutzV,Inbetriebnahme
2720,SHK Kundendiensttechniker,andere beraten
2721,SHK Kundendiensttechniker,Kommunikation
2722,"SP Sicherheitsprüfung an Nutzfahrzeugen, Erstschulung",Energietechnik
2723,"SP Sicherheitsprüfung an Nutzfahrzeugen, Erstschulung",sich selbst darstellen
2724,Vorbereitung auf die Ausbildereignungsprüfung (nach AEVO) - AdA,planen
2725,Abnahme von Druckprüfungen an Gasrohrleitungen,Prüfmethoden
2726,Abnahme von Druckprüfungen an Trinkwasserrohrleitungen,Messtechnik
2727,Assistent/-in im Hotelservice,Reinigungsmittel
2728,Assistent/-in im Hotelservice,Reinigungstechniken
2729,Assistent/-in im Hotelservice,öffentliches Recht
2730,Assistent/-in im Hotelservice,Heißgetränke zubereiten
2731,Assistent/-in im Hotelservice,Getränke
2732,Assistent/-in im Hotelservice,Getränke servieren
2733,Assistent/-in im Hotelservice,Reinigungsarbeiten durchführen
2734,Assistent/-in im Hotelservice,Kommunikation
2735,Beton- und Stahlbetonbau,Beton verdichten
2736,"Betreiben von Erdbaumaschinen nach DGUV 100-500, Kap. 2.12 Fahren von Mobilbaggern und Radladern",Kommunikation
2737,"Erwerb der Sachkunde nach TRGS 519, Nr. 2.7 Asbest - Anlage 4A ",organisatorische Maßnahmen
2738,Fachkraft Geothermie - für Bohrungen für geothermische Zwecke und Einbau von geschlossenen Wärmeüberträgersystemen (Erdwärmesonden),Geologie
2739,"Fachkraft nach DIN EN ISO 22475-1 geotechnische Erkundung, Probenentnahme und Grundwassermessung (berufsbegleitend)",Geologie
2740,"Fortbildung zum Erhalt der Sachkunde nach TRGS 519, Nr. 2.7 Asbest - Anlage 4A",organisatorische Maßnahmen
2741,Führen von Schichtenverzeichnissen bei Bohrarbeiten,andere führen
2742,Geprüfter Bagger- und Laderfahrer für Anfänger (ZUMBau anerkannt),Bodenmechanik
2743,Geprüfter Bagger- und Laderfahrer für Fortgeschrittene (europaweit anerkannt),Bodenmechanik
2744,Geprüfter Teleskopfahrer (ZUMBau anerkannt),Bodenmechanik
2745,Intensivkurs Englisch für Baufachkräfte,Englisch
2746,Intensivkurs Polnisch für Baufachkräfte,Kommunikation
2747,Intensivkurs Polnisch für Baufachkräfte,Englisch
2748,Intensivkurs Polnisch für Baufachkräfte,Grammatik
2749,Intensivkurs Polnisch für Baufachkräfte,Polnisch
2750,Kettenbagger - Einzelmaschinenbedienung,Kommunikation
2751,Küchenassistent/-in,Beratung
2752,Küchenassistent/-in,Heißgetränke zubereiten
2753,Küchenassistent/-in,Getränke
2754,Küchenassistent/-in,Getränke servieren
2755,Küchenassistent/-in,Kommunikation
2756,Lehrgang zur Verkehrssicherung nach ZTV-SA und MVAS 1999 mit ASR A5.2 vom Dezember 2018,Zivilrecht
2757,Minibagger Einzelmaschinenbedienung,Sicherheitsvorschriften
2758,Minibagger Einzelmaschinenbedienung,Bodenkunde
2759,Minibagger Einzelmaschinenbedienung,Hydraulik
2760,Minibagger Einzelmaschinenbedienung,Sicherheitsvorschriften
2761,Minibagger Einzelmaschinenbedienung,Bodenkunde
2762,Minibagger Einzelmaschinenbedienung,Hydraulik
2763,Mobilbagger bis 14  t - Einzelmaschinenbedienung,Inbetriebnahme
2764,Nachschulung Alltagsbegleitung und Betreuung,Kommunikation
2765,PMBC-Lehrgang - auf Basis DIN 18533 (ehemals KMB) Qualifizierungsnachweis zum Herstellen von flüssig zu verarbeitenden erdseitigen Abdichtungen,Bauweisen
2766,Radlader Einzelmaschinenbedienung,Inbetriebnahme
2767,Radlader Einzelmaschinenbedienung,Inbetriebnahme
2768,"SIVV - Ausbildung (Schützen, Instandsetzen, Verbinden und Verstärken von Betonbauteilen) - Vorbereitung auf die Prüfung zum Erwerb des SIVV-Scheins",Kunststoffe
2769,"SIVV - Ausbildung (Schützen, Instandsetzen, Verbinden und Verstärken von Betonbauteilen) - Vorbereitung auf die Prüfung zum Erwerb des SIVV-Scheins",Deutsch
2770,Tischler - Schreiner - Maschinenlehrgang (TSM) - Modul 1 bis 3,planen
2771,Umschulung Hauswirtschafter/-in,Erste Hilfe
2772,Umschulung Hauswirtschafter/-in,Erste Hilfe leisten
2773,Umschulung Hauswirtschafter/-in,planen
2774,Umschulung Koch/Köchin,Beratung
2775,Umschulung Koch/Köchin,Kommunikation
2776,Vermessung für den Straßen- und Wegebau,Vermessung
2777,Vermessung für den Straßen- und Wegebau,Vermessung
2778,Vermessung für den Straßen- und Wegebau,Vermessung
2779,Vorarbeiter Hochbau  Bauen im Bestand ,Mathematik
2780,Vorarbeiter Hochbau  Bauen im Bestand ,Vermessung
2781,"Vorarbeiter Tiefbau (Erd-, Straßen- und Kanalbau) AZAV zertifiziert",Mathematik
2782,"Vorarbeiter Tiefbau (Erd-, Straßen- und Kanalbau) AZAV zertifiziert",Vermessung
2783,Weiterbildung Gebäudereinigung,Reinigungsmittel
2784,Weiterbildung Hauswirtschafter/-in,Erste Hilfe
2785,Weiterbildung Hauswirtschafter/-in,Erste Hilfe leisten
2786,Weiterbildung Koch/Köchin,Kommunikation
2787,Werkpolier Hochbau (Hochbau und Bauen im Bestand) AZAV zertifiziert,Personalmanagement
2788,"Werkpolier Tiefbau - in den Spezialqualifikationen: Tiefbau - Erd-, Straßen- und Kanalbau (TB)",Personalmanagement
2789,"Werkpolier Tiefbau - in den Spezialqualifikationen: Tiefbau - Erd-, Straßen- und Kanalbau (TB)",Personalmanagement
2790,"Zertifizierter Prüfer zur Bestimmung der Luftdichtigkeit von Gebäuden GEG 2020, DIN EN ISO 9972, DIN EN 13829, und DIN 4107-7 DENA Anerkennung mit 8 ",Messtechnik
2791,Anerkannte Weiterbildung gem. § 7 Pflanzenschutzgesetz,integrierter Pflanzenschutz
2792,Landwirt/in,Ökologie
2793,Landwirtschaftsmeister/-in - Vorbereitung auf das Meisterprüfungsverfahren (Aufstiegsfortbildung),Verbraucherschutz
2794,"Pferdewirt/in Fachrichtung Haltung und Service, Zucht ",Tierschutz
2795,Pferdewirtschaftsmeister/-in Fachrichtung Pferdehaltung und Service ,Verbraucherschutz
2796,Sachkundenachweis im Pflanzenschutz,integrierter Pflanzenschutz
2797,Sachkundenachweis im Pflanzenschutz,Verbraucherschutz
2798,Sachkundenachweis Pferdehaltung,Tierschutz
2799,Vorbereitungskurs auf die Prüfung zum Jäger/-in nach §15 BJG,Tierarten
2800,Berufsfachschule Soziales - SozialassistentIn,Deutsch
2801,Berufsfachschule Soziales - SozialassistentIn,Englisch
2802,Berufsfachschule Soziales - SozialassistentIn,Mathematik
2803,Berufsfachschule Soziales - SozialassistentIn,Biologie
2804,Fachoberschule Sozialwesen - 2-jährig (Fachhochschulreife),Deutsch
2805,Fachoberschule Sozialwesen - 2-jährig (Fachhochschulreife),Englisch
2806,Fachoberschule Sozialwesen - 2-jährig (Fachhochschulreife),Mathematik
2807,Fachoberschule Sozialwesen - 2-jährig (Fachhochschulreife),Biologie
2808,Fachoberschule Sozialwesen - 2-jährig (Fachhochschulreife),Betriebswirtschaft
2809,Fachoberschule Wirtschaft und Verwaltung 1- oder 2-jährig (Fachhochschulreife),Pädagogik
2810,Fachoberschule Wirtschaft und Verwaltung 1- oder 2-jährig (Fachhochschulreife),Psychologie
2811,Fachoberschule Wirtschaft und Verwaltung 1- oder 2-jährig (Fachhochschulreife),Deutsch
2812,Fachoberschule Wirtschaft und Verwaltung 1- oder 2-jährig (Fachhochschulreife),Mathematik
2813,Fachoberschule Wirtschaft und Verwaltung 1- oder 2-jährig (Fachhochschulreife),Englisch
2814,Fachoberschule Wirtschaft und Verwaltung 1- oder 2-jährig (Fachhochschulreife),Chemie
2815,Fachschule für Sozialwesen - Erzieher*in tätigkeitsbegleitend,Deutsch
2816,Fachschule für Sozialwesen - Erzieher*in tätigkeitsbegleitend,Kommunikation
2817,Fachschule für Sozialwesen - Erzieher*in tätigkeitsbegleitend,Englisch
2818,Fachschule für Sozialwesen - Erzieher*in tätigkeitsbegleitend,Biologie
2819,Fachschule für Sozialwesen - Fachrichtung Heilerziehungspflege,planen
2820,Fachschule für Sozialwesen - Fachrichtung Heilerziehungspflege,Dritte evaluieren
2821,Fachschule für Sozialwesen - Fachrichtung Heilerziehungspflege,Waren sichern
2822,Fachschule für Sozialwesen - Fachrichtung Heilerziehungspflege,Deutsch
2823,Fachschule für Sozialwesen - Fachrichtung Heilerziehungspflege,Kommunikation
2824,Fachschule für Sozialwesen - Fachrichtung Heilerziehungspflege,Englisch
2825,Fachschule für Sozialwesen - Fachrichtung Heilerziehungspflege,Biologie
2826,Fachschule für Sozialwesen - Fachrichtung Sozialpädagogik,Sozialpädagogik
2827,Fachschule für Sozialwesen - Fachrichtung Sozialpädagogik,Deutsch
2828,Fachschule für Sozialwesen - Fachrichtung Sozialpädagogik,Kommunikation
2829,Fachschule für Sozialwesen - Fachrichtung Sozialpädagogik,Englisch
2830,Fachschule für Sozialwesen - Fachrichtung Sozialpädagogik,Biologie
2831,Fachschule für Sozialwesen - Fachrichtung Sozialpädagogik,Erste Hilfe
2832,Elektrofachkraft für festgelegte Tätigkeiten (EffT nach DGUV 3 Vorschrift - Elektrische Anlagen und Betriebsmittel) ,Elektrotechnik
2833,Elektrofachkraft für festgelegte Tätigkeiten (EffT nach DGUV 3 Vorschrift - Elektrische Anlagen und Betriebsmittel) ,Strom
2834,Elektrofachkraft für festgelegte Tätigkeiten (EffT nach DGUV 3 Vorschrift - Elektrische Anlagen und Betriebsmittel) ,Erste Hilfe
2835,"""Impressionismus in Russland"" - Einführung in die Ausstellung",Internationales Recht
2836,"""Impressionismus in Russland"" - Einführung in die Ausstellung",Russisch
2837,"""Von da Vinci bis zum Mond"" - Eine Zeitreise durch die Realitäten",virtuelle Realität
2838,10-Finger-System an zwei Vormittagen,virtuelle Realität
2839,Adolph Menzels Kunst und Wirklichkeiten,Deutsch
2840,Adolph Menzels Kunst und Wirklichkeiten,Waren sichern
2841,Adolph Menzels Kunst und Wirklichkeiten,Prägen
2842,Aktiv gegen Verschwörungserzählungen im Internet,andere motivieren
2843,Alte Texte lesen - Die Sütterlinschrift,Deutsch
2844,Alte Texte lesen - Die Sütterlinschrift,Deutsch
2845,"Amalie Dietrich - Botanikerin, Zoologin und Forschungsreisend",Deutsch
2846,"Amalie Dietrich - Botanikerin, Zoologin und Forschungsreisend",Pflanzenarten
2847,Anleitung zum Crowdfunding,Crowdfunding
2848,Aquarell malen - Grundlagenkurs,sich selbst darstellen
2849,Arabisch A1,Arabisch
2850,Arabisch A1 - Intensivkurs,Arabisch
2851,Arabisch A1.1,Arabisch
2852,Arabisch A1.1,Grammatik
2853,Arabisch A1.2,Arabisch
2854,Arabisch A1.2,Grammatik
2855,Arabisch Schriftkurs,Arabisch
2856,Arabisch Schriftkurs,Grammatik
2857,Architekturzeichnen in Potsdams Mitte,sich selbst darstellen
2858,Auf dem Laufenden bleiben - die aktuelle Rechtschreibung,Rechtschreibung
2859,Auf den Spuren der Vorfahren,Waren sichern
2860,Auf der Suche nach Eindeutigkeit,Deutsch
2861,Aufbauseminar Leichte Sprache,Prägen
2862,Augen auf beim Kauf! Was Ihnen die Lebensmittelverpackung verrät,Ernährung
2863,Auguste Victoria - Deutschlands letzte Kaiserin,Deutsch
2864,Auguste Victoria - Deutschlands letzte Kaiserin,Niederländisch
2865,Babelsberg - Ein Schloss im innerdeutschen Grenzgebiet,Englisch
2866,Babelsberg - Ein Schloss im innerdeutschen Grenzgebiet,Deutsch
2867,Babelsberg schreibt Filmgeschichte,auf Details achten
2868,Babelsberg schreibt Filmgeschichte,Politik
2869,Besser lesen und schreiben ,Menschen lesen
2870,Besser lesen und schreiben,Menschen lesen
2871,Beweglich und fit im Alter mit ErlebniSTanz,Herz-Kreislauf-System
2872,Beweglich und fit im Alter mit ErlebniSTanz,Herz-Kreislauf-System
2873,Biblisches Hebräisch A1,Hebräisch
2874,Bildbearbeitung mit Gimp - die kostenlose Photoshop-Alternative,Adobe Photoshop
2875,Bilder im Sprachunterricht,Grammatik
2876,Bilder im Sprachunterricht,Fotos machen
2877,Bildgestaltung und Technik,Fotografie
2878,Bildgestaltung und Technik,Kameras
2879,Bildgestaltung und Technik,andere führen
2880,"Brandenburg in den ""Goldenen Zwanzigern""",Strom
2881,Buchbinden - Japanische Bindung,Japanisch
2882,Buchführung für Kleinunternehmer*innen,Buchführung
2883,Business Correspondence B1/B2 - Intensivkurs,Buchführung
2884,CANTIENICA®-Yoga,Yoga
2885,CANTIENICA®-Yoga,Yoga
2886,Chinas große Umwälzung: Soziale Konflikte und Aufstieg im Weltsystem ,andere führen
2887,Chinas große Umwälzung: Soziale Konflikte und Aufstieg im Weltsystem ,Chinesisch
2888,Chinesisch am Wochenende A1,Chinesisch
2889,Dante und die deutsche Welt (Sprache: Italienisch),Deutsch
2890,Dante und die deutsche Welt (Sprache: Italienisch),Italienisch
2891,Dante und die deutsche Welt (Sprache: Italienisch),Reflexion
2892,Das Darknet - Chance oder Bedrohung?,Journalismus
2893,Das Risikoparadox - Warum wir uns vor dem Falschen fürchten,Internationales Recht
2894,Deutsch A1,Deutsch
2895,Deutsch A1,Deutsch
2896,Deutsch A2.1,Deutsch
2897,Deutsch A2.1,Deutsch
2898,Deutsch A2.2,Deutsch
2899,Deutsch A2.2,Deutsch
2900,Deutsch A2.2,Deutsch
2901,Deutsch ab B1/B2 - Deutsch lernen mit Theaterstücken,Deutsch
2902,Deutsch ab B1/B2 - Deutsch lernen mit Theaterstücken,Deutsch sprechen
2903,Deutsch B1.1 ,Deutsch
2904,Deutsch B1.1,Deutsch
2905,Deutsch B1.2,Deutsch
2906,Deutsch B1.2,Deutsch
2907,Deutsch B1.2,Deutsch
2908,Deutsch B1/B2 - Aussprache und Konversation,Deutsch
2909,Deutsch B2.1,Deutsch
2910,Deutsch B2.1 am Vormittag,Deutsch
2911,Deutsch B2.1 am Vormittag,Sprachkenntnisse auffrischen
2912,Deutsch B2.2,Deutsch
2913,Deutsch B2.2 am Vormittag,Deutsch
2914,Deutsch B2.2 am Vormittag,Sprachkenntnisse auffrischen
2915,Deutsch C1 (Modul 1),Deutsch
2916,Deutsch C1 (Modul 2),Deutsch
2917,Deutsch C1 (Modul 3),Deutsch
2918,Deutschland vor der Wahl - Wie bunt wird unsere neue Regierung?,Umfrage
2919,Die Darmgesundheit fördern,Ernährung
2920,Die Erziehung des Geschmacks - Eine unendliche Geschichte,Algorithmen
2921,Die Erziehung des Geschmacks - Eine unendliche Geschichte,Deutsch
2922,Die großen Katastrophen der Vergangenheit (Sprache: Englisch),Englisch
2923,Die großen Katastrophen der Vergangenheit (Sprache: Englisch),andere führen
2924,Die großen Katastrophen der Vergangenheit (Sprache: Englisch),Internationales Recht
2925,Die Havel - Von der Quelle bis zur Mündung,Englisch
2926,Die Havel - Von der Quelle bis zur Mündung,sich selbst darstellen
2927,Die Realität des Risikos,Philosophie
2928,Die resiliente Gesellschaft,Risikomanagement
2929,Die resiliente Gesellschaft,öffentliches Recht
2930,Die resiliente Gesellschaft,Volkswirtschaftslehre
2931,Die Wiedererfindung der Nation,Deutsch
2932,Digitale Fotografie für Ein- und Umsteiger*innen,Fotografie
2933,Digitale Fotografie für Ein- und Umsteiger*innen,Kameras
2934,Digitale Selbstverteidigung: Tricks zum Schutz der Privatsphäre,Kameras
2935,Digitale Selbstverteidigung: Tricks zum Schutz der Privatsphäre,Deutsch
2936,Digitales Entwerfen und Planen mit Sketchup Make,planen
2937,Digitales Entwerfen und Planen mit Sketchup Make,Datenbank
2938,Digitales Entwerfen und Planen mit Sketchup Make,Geometrie
2939,Digitalisierung im beruflichen Alltag,öffentliches Recht
2940,Digitalisierung im beruflichen Alltag,Kommunikation
2941,Dirty Tricks in der Rhetorik erkennen und durchkreuzen,Rhetorik
2942,Dirty Tricks in der Rhetorik erkennen und durchkreuzen,andere führen
2943,Dosen & Schachteln,Boxen
2944,Drucksachen gestalten mit Affinity Publisher - Grundlagen,Typografie
2945,Effizientes Arbeiten im Büro mit Office 2016,Mathematik
2946,Effizientes Arbeiten im Büro mit Office 2019,Mathematik
2947,Effizientes Marketing,Marktanalyse
2948,Effizientes Marketing,Marketingmix
2949,Ein Elefant für den Papst,Kartografie
2950,Ein Fotobuch erstellen,Fotos machen
2951,Einfache Techniken der Wohlfühl-Massage,Shiatsu
2952,Einfache Techniken der Wohlfühl-Massage,Akupressur
2953,Einführung in die Bildbearbeitung mit Affinity,Fotos machen
2954,Einführung in die Chinesische Tuschemalerei und Kalligrafie,Chinesisch
2955,Einführung in die motivierende Gesprächsführung ,Kommunikation
2956,Einstieg ins E-Learning,E-Learning
2957,Empfängerorientierte Kommunikation mit dem 4-Quadranten-Modell,Kommunikation
2958,Empfängerorientierte Kommunikation mit dem 4-Quadranten-Modell,andere führen
2959,Englisch A1.1,Englisch
2960,Englisch A1.1,Englisch
2961,Englisch A1.2,Englisch
2962,Englisch A1.2,Englisch
2963,Englisch A1.3,Englisch
2964,Englisch A1.3,Englisch
2965,Englisch A1.4,Englisch
2966,Englisch A2.1,Englisch
2967,Englisch A2.1,Englisch
2968,Englisch A2.2,Englisch
2969,Englisch A2.3,Englisch
2970,Englisch A2.4,Englisch
2971,Englisch A2.4,Kommunikation
2972,Englisch A2.4,Englisch
2973,Englisch A2/B1,Englisch
2974,Englisch A2/B1,Grammatik
2975,Englisch A2/B1 - Intensivkurs,Englisch
2976,Englisch am Vormittag A1.1,Englisch
2977,Englisch am Vormittag A1.2,Englisch
2978,Englisch am Vormittag A1.3,Englisch
2979,Englisch am Vormittag A1.4,Englisch
2980,Englisch am Vormittag A2.1,Englisch
2981,Englisch am Vormittag A2.2,Englisch
2982,Englisch am Vormittag A2.3,Englisch
2983,Englisch B1.1,Englisch
2984,Englisch B1.1,Englisch
2985,Englisch B1.1,Englisch
2986,Englisch B1.1,Englisch
2987,Englisch B1.2,Englisch
2988,Englisch B1.2,Englisch
2989,Englisch B1.3,Englisch
2990,Englisch B1.4,Englisch
2991,Englisch für den Tourismus A2/B1,Englisch
2992,Englisch für den Tourismus A2/B1,Grammatik
2993,Englisch für Fortgeschrittene A2 - Intensivkurs,Englisch
2994,Englisch für Wiedereinsteiger A1 - Intensivkurs,Englisch
2995,Englisch kommunizieren in Büro und Alltag A2/B1,Englisch
2996,Englisch Starter für Einsteiger A1 - Intensivkurs,Englisch
2997,Englisch Starter für Einsteiger A1 - Intensivkurs,Internationales Recht
2998,Englisch von Anfang an,Englisch
2999,Englisch von Anfang an,Englisch
3000,English - Getting better B2,Englisch
3001,English B1 - Just keep your level alive,Englisch
3002,English B1 - Just keep your level alive,Erste Hilfe
3003,English B1/B2 - Intensivkurs,Internationales Recht
3004,English Conversation A2/B1,Englisch
3005,English Conversation A2/B1,Englisch
3006,English for advanced Beginners A1,Englisch
3007,English for Beginners A1,Englisch
3008,English for Beginners A1,Grammatik
3009,English for early birds A2/B1,Kommunikation
3010,English for working early birds B1/B2,Kommunikation
3011,English Grammar Course B1,Grammatik
3012,English Refresher A1,Englisch
3013,English Refresher A1,andere führen
3014,Entscheidungsmanagement für wichtige Fragen,Entscheidungen treffen
3015,Erfolgreicher kommunizieren und planen mit Outlook ,planen
3016,Erfolgreicher kommunizieren und planen mit Outlook ,andere führen
3017,Español compacto A1/A2,Spanisch
3018,Español para las vacaciones A1,Spanisch
3019,Español para las vacaciones A1,andere führen
3020,Fake News,Journalismus
3021,Familientisch - Miteinander ins Gespräch kommen,andere führen
3022,Femizide - Warum Männer Frauen töten und was wir dagegen tun müssen,Migration
3023,Finden statt suchen: Digitale Fotos einfach verwalten,Fotos machen
3024,Fit im Alltag - Die sieben Regeln für eine gesunde Ernährung,Ernährung
3025,Fotoclub,Ernährung
3026,Fotografie - Grundlagenkurs,Fotografie
3027,Fotografie Grundlagen - Mit der Kamera unterwegs in Potsdam,Bildbearbeitungsprogramm
3028,Fotografie Grundlagen - Mit der Kamera unterwegs in Potsdam,Fotografie
3029,Fotografie Grundlagen - Mit der Kamera unterwegs in Potsdam,Kameras
3030,Französisch - Conversation A2/B1,Grammatik
3031,Französisch A1 - Intensivkurs,Fotos machen
3032,Französisch A1.4,Freizeitaktivitäten
3033,Französisch A1.4,Grammatik
3034,Französisch A2.1,andere führen
3035,Französisch A2.1,Grammatik
3036,Französisch A2.2,andere führen
3037,Französisch A2.2,Grammatik
3038,Französisch A2.3,andere führen
3039,Französisch A2.3,Grammatik
3040,Geschlechterrollen hinterfragen - ein Workshop für Frauen*,Prägen
3041,Gesund und ausgeglichen dank Integraler Lebenspraxis,andere führen
3042,Gigantomanische Bauten des Stalinismus,Energie
3043,Gigantomanische Bauten des Stalinismus,Internationales Recht
3044,Gigantomanische Bauten des Stalinismus,andere führen
3045,Hatha-Yoga,Yoga
3046,Hatha-Yoga,andere führen
3047,Hatha-Yoga,andere beraten
3048,Hatha-Yoga,Yoga
3049,Hatha-Yoga - für den Rücken,Yoga
3050,Herz-Kreislauf-Erkrankungen bei Frauen - der Einfluss des Geschlechts auf die Gesundheit,Medizin
3051,Herz-Kreislauf-Erkrankungen bei Frauen - der Einfluss des Geschlechts auf die Gesundheit,Rehabilitation
3052,Hüftschmerzen,Orthopädie
3053,Improvisation leben,improvisieren
3054,"Interaktive Vortragsreihe: ""Gespräche über Glück""",andere führen
3055,"Interaktive Vortragsreihe: ""Gespräche über Wertschätzung""",Energie
3056,Intervallfasten/Basenfasten - die leichtere Form zu weniger Kalorien,Getränke
3057,Italiano compatto per avanzati A1,Italienisch
3058,Italiano compatto per principianti A1,Italienisch
3059,Italienisch - Conversazione A2/B1,Italienisch
3060,Italienisch - Conversazione A2/B1,Italienisch
3061,Italienisch - Conversazione B2,Italienisch
3062,Italienisch - Conversazione B2,Italienisch
3063,Italienisch - Conversazione B2/C1,Italienisch
3064,Italienisch - In giro per la città,Italienisch
3065,Italienisch - In giro per la città,Deutsch
3066,Italienisch A1 - Intensivkurs,Italienisch
3067,Italienisch A1 - Intensivkurs,Grammatik
3068,Italienisch A1.1,Italienisch
3069,Italienisch A1.1,Grammatik
3070,Italienisch A1.1,Italienisch
3071,Italienisch A1.1,Grammatik
3072,Italienisch A1.2,Italienisch
3073,Italienisch A1.2,Grammatik
3074,Italienisch A1.2,Italienisch
3075,Italienisch A1.2,Grammatik
3076,Italienisch A1.3,Italienisch
3077,Italienisch A1.3,Grammatik
3078,Italienisch A1.4,Italienisch
3079,Italienisch A1/A2 - Intensivkurs,Italienisch
3080,Italienisch A2.1,Italienisch
3081,Italienisch A2.1,Italienisch
3082,Italienisch A2.2,Italienisch
3083,Italienisch A2.3,Italienisch
3084,Italienisch A2.4,Italienisch
3085,Italienisch A2/B1,Italienisch
3086,Italienisch A2/B1,Italienisch
3087,Italienisch am Vormittag A1.1,Italienisch
3088,Italienisch am Vormittag A1.1,Grammatik
3089,Italienisch am Vormittag A1.2,Italienisch
3090,Italienisch am Vormittag A1.2,Grammatik
3091,Italienisch am Vormittag A1.3,Italienisch
3092,Italienisch am Vormittag A1.3,Grammatik
3093,Italienisch B1+,Italienisch
3094,Italienisch B1+,Italienisch
3095,Italienisch B1.1,Italienisch
3096,Italienisch B1.3,Italienisch
3097,Italienisch B1.4,Italienisch
3098,Japanisch A1.1,Japanisch
3099,Japanisch A1.1,planen
3100,Japanisch A1.2,Japanisch
3101,Japanisch A1.2,planen
3102,Japanisch A1.2,Japanisch
3103,Japanisch A1.2,planen
3104,Japanisch A1.3,Japanisch
3105,Japanisch A1.3,planen
3106,Japanisch A2 - Wir sprechen Japanisch,Japanisch
3107,Japanisch A2 - Wir sprechen Japanisch,Japanisch sprechen
3108,Japanisch zum Kennenlernen A1,Japanisch
3109,Japanisch zum Kennenlernen A1,planen
3110,Jathara-Yoga - Yoga für den Bauch,Japanisch
3111,Jathara-Yoga - Yoga für den Bauch,Yoga
3112,Jathara-Yoga - Yoga für den Bauch,Yoga
3113,Kameratechnik für Spiegelreflex- und Systemkameras,Yoga
3114,Kameratechnik für Spiegelreflex- und Systemkameras,Kameras
3115,Kinofilm in Originalfassung: Bohnenstange / Dylda ,R
3116,Kinofilm in Originalfassung: Corpus Christi / Boze Cialo,Preise auszeichnen
3117,Kinofilm in Originalfassung: Corpus Christi / Boze Cialo,R
3118,Kinofilm in Originalfassung: Der Glanz der Unsichtbaren / Les Invisibles ,R
3119,Kinofilm in Originalfassung: Emma ,R
3120,Kinofilm in Originalfassung: Emma ,andere führen
3121,Kinofilm in Originalfassung: Emma ,humorvoll sein
3122,Kinofilm in Originalfassung: Liebes Tagebuch / Caro diario ,R
3123,Kinofilm in Originalfassung: Liebes Tagebuch / Caro diario ,Dermatologie
3124,Kinofilm in Originalfassung: Liebes Tagebuch / Caro diario ,Chinesisch
3125,Kinofilm in Originalfassung: Mishima - Ein Leben in vier Kapiteln ,R
3126,Kinofilm in Originalfassung: Mishima - Ein Leben in vier Kapiteln ,Japanisch
3127,Kinofilm in Originalfassung: Rosas Hochzeit / La boda de Rosa ,R
3128,Klartext reden für Frauen,Kommunikation
3129,Klassischer Yoga,Yoga
3130,Klassischer Yoga,andere führen
3131,Klimawandel und Klimapolitik,sich selbst darstellen
3132,Klimawandel und Klimapolitik,andere beraten
